rowname,layer,age,depth,SOM,H2O,age_num,pH,protozoa,prokarya,bacpred
TK20-2,AL,AY,20,5.39,22.52,1.13,4.02,1.71,94.26,5.35
TK20-3,AL,AY,30,10.19,22.05,1.16,4.29,2.18,94.46,7.20
TK20-4,AL,AY,40,13.68,26.57,1.2,4.25,3.72,90.70,13.43
TK20-5,TZ1,AM,50,2.59,7.73,2635,4.64,8.39,83.02,13.43
TK20-6,TZ1,AM,60,2.93,15.61,3770,4.13,3.26,88.80,3.45
TK20-7,TZ1,AO,70,1.52,8.72,26500,4.86,6.17,85.87,4.05
TK20-8,TZ2,AO,80,1.1,6.35,22100,4.48,5.66,83.51,1.97
TK20-9,TZ2,AO,90,1,7.96,26200,4.57,4.49,80.88,1.02
TK20-10,PF,AO,100,1.04,7.8,26200,4.91,2.42,89.45,0.56
TK20-11,AL,AY,10,8.73,28.8,1.04,4.22,2.89,81.77,6.44
TK20-12,AL,AY,20,5.39,22.52,1.13,4.02,1.79,93.40,5.28
TK20-13,AL,AY,30,10.19,22.05,1.16,4.29,2.10,91.89,7.22
TK20-14,AL,AY,40,13.68,26.57,1.2,4.25,2.59,93.30,13.78
TK20-15,TZ1,AM,50,2.59,7.73,2635,4.64,5.02,86.66,13.39
TK20-16,TZ1,AM,60,2.93,15.61,3770,4.13,6.98,81.25,4.92
TK20-17,TZ1,AO,70,1.52,8.72,26500,4.86,5.72,86.12,2.74
TK20-18,TZ2,AO,80,1.1,6.35,22100,4.48,5.67,84.13,1.72
TK20-19,TZ2,AO,90,1,7.96,26200,4.57,5.34,83.86,1.21
TK20-20,PF,AO,100,1.04,7.8,26200,4.91,4.91,82.96,4.78
TK20-21,AL,AY,10,8.73,28.8,1.04,4.22,3.89,77.93,7.71
TK20-22,AL,AY,20,5.39,22.52,1.13,4.02,1.41,95.55,4.98
TK20-23,AL,AY,30,10.19,22.05,1.16,4.29,2.16,94.20,7.16
TK20-24,AL,AY,40,13.68,26.57,1.2,4.25,3.28,90.18,13.92
TK20-25,TZ1,AM,50,2.59,7.73,2635,4.64,4.58,83.84,7.57
TK20-26,TZ1,AM,60,2.93,15.61,3770,4.13,6.43,82.92,15.55
TK20-27,TZ1,AO,70,1.52,8.72,26500,4.86,9.29,76.37,6.25
TK20-28,TZ2,AO,80,1.1,6.35,22100,4.48,4.48,80.65,2.74
TK20-29,TZ2,AO,90,1,7.96,26200,4.57,4.85,71.65,0.96
TK20-30,PF,AO,100,1.04,7.8,26200,4.91,3.41,86.27,1.20
